Corbin Matamoros

  N      iterative      recursive     closedForm   Equal?
  1              1              1              1        Y
  2              5              5              5        Y
  3             14             14             14        Y
  4             30             30             30        Y
  5             55             55             55        Y
  6             91             91             91        Y
  7            140            140            140        Y
  8            204            204            204        Y
  9            285            285            285        Y
 10            385            385            385        Y
 11            506            506            506        Y
 12            650            650            650        Y
 13            819            819            819        Y
 14           1015           1015           1015        Y
 15           1240           1240           1240        Y
 16           1496           1496           1496        Y
 17           1785           1785           1785        Y
 18           2109           2109           2109        Y
 19           2470           2470           2470        Y
 20           2870           2870           2870        Y
 21           3311           3311           3311        Y
 22           3795           3795           3795        Y
 23           4324           4324           4324        Y
 24           4900           4900           4900        Y
 25           5525           5525           5525        Y
 26           6201           6201           6201        Y
 27           6930           6930           6930        Y
 28           7714           7714           7714        Y
 29           8555           8555           8555        Y
 30           9455           9455           9455        Y
 31          10416          10416          10416        Y
 32          11440          11440          11440        Y
 33          12529          12529          12529        Y
 34          13685          13685          13685        Y
 35          14910          14910          14910        Y
 36          16206          16206          16206        Y
 37          17575          17575          17575        Y
 38          19019          19019          19019        Y
 39          20540          20540          20540        Y
 40          22140          22140          22140        Y
 41          23821          23821          23821        Y
 42          25585          25585          25585        Y
 43          27434          27434          27434        Y
 44          29370          29370          29370        Y
 45          31395          31395          31395        Y
 46          33511          33511          33511        Y
 47          35720          35720          35720        Y
 48          38024          38024          38024        Y
 49          40425          40425          40425        Y
 50          42925          42925          42925        Y
 51          45526          45526          45526        Y
 52          48230          48230          48230        Y
 53          51039          51039          51039        Y
 54          53955          53955          53955        Y
 55          56980          56980          56980        Y
 56          60116          60116          60116        Y
 57          63365          63365          63365        Y
 58          66729          66729          66729        Y
 59          70210          70210          70210        Y
 60          73810          73810          73810        Y
 61          77531          77531          77531        Y
 62          81375          81375          81375        Y
 63          85344          85344          85344        Y
 64          89440          89440          89440        Y
 65          93665          93665          93665        Y
 66          98021          98021          98021        Y
 67         102510         102510         102510        Y
 68         107134         107134         107134        Y
 69         111895         111895         111895        Y
 70         116795         116795         116795        Y
 71         121836         121836         121836        Y
 72         127020         127020         127020        Y
 73         132349         132349         132349        Y
 74         137825         137825         137825        Y
 75         143450         143450         143450        Y
 76         149226         149226         149226        Y
 77         155155         155155         155155        Y
 78         161239         161239         161239        Y
 79         167480         167480         167480        Y
 80         173880         173880         173880        Y
 81         180441         180441         180441        Y
 82         187165         187165         187165        Y
 83         194054         194054         194054        Y
 84         201110         201110         201110        Y
 85         208335         208335         208335        Y
 86         215731         215731         215731        Y
 87         223300         223300         223300        Y
 88         231044         231044         231044        Y
 89         238965         238965         238965        Y
 90         247065         247065         247065        Y
 91         255346         255346         255346        Y
 92         263810         263810         263810        Y
 93         272459         272459         272459        Y
 94         281295         281295         281295        Y
 95         290320         290320         290320        Y
 96         299536         299536         299536        Y
 97         308945         308945         308945        Y
 98         318549         318549         318549        Y
 99         328350         328350         328350        Y
100         338350         338350         338350        Y
